forecast_step,week_start,store_id,cat_id,predicted_units_sold,predicted_units_sold_rounded
1,2016-05-23,CA_1,FOODS,22027.554523809526,22028
1,2016-05-23,CA_1,HOBBIES,3825.9401746031745,3826
1,2016-05-23,CA_1,HOUSEHOLD,6898.858846560849,6899
1,2016-05-23,CA_2,FOODS,21907.345634920635,21907
1,2016-05-23,CA_2,HOBBIES,3138.0569444444445,3138
1,2016-05-23,CA_2,HOUSEHOLD,8342.886222222221,8343
1,2016-05-23,CA_3,FOODS,26136.650955026456,26137
1,2016-05-23,CA_3,HOBBIES,4101.710716931216,4102
1,2016-05-23,CA_3,HOUSEHOLD,12437.816492063492,12438
1,2016-05-23,CA_4,FOODS,13128.620291005293,13129
1,2016-05-23,CA_4,HOBBIES,2825.5779682539683,2826
1,2016-05-23,CA_4,HOUSEHOLD,4098.999351851851,4099
1,2016-05-23,TX_1,FOODS,15146.079037037036,15146
1,2016-05-23,TX_1,HOBBIES,2094.7592460317464,2095
1,2016-05-23,TX_1,HOUSEHOLD,6722.67406084656,6723
1,2016-05-23,TX_2,FOODS,18854.534547619045,18855
1,2016-05-23,TX_2,HOBBIES,2883.96538095238,2884
1,2016-05-23,TX_2,HOUSEHOLD,6914.935899470902,6915
1,2016-05-23,TX_3,FOODS,18469.454563492054,18469
1,2016-05-23,TX_3,HOBBIES,2904.899595238096,2905
1,2016-05-23,TX_3,HOUSEHOLD,6971.735513227513,6972
1,2016-05-23,WI_1,FOODS,18617.308619047613,18617
1,2016-05-23,WI_1,HOBBIES,2918.1084841269844,2918
1,2016-05-23,WI_1,HOUSEHOLD,5436.202325637324,5436
1,2016-05-23,WI_2,FOODS,23668.092650793642,23668
1,2016-05-23,WI_2,HOBBIES,2052.4181269841283,2052
1,2016-05-23,WI_2,HOUSEHOLD,7635.312682539682,7635
1,2016-05-23,WI_3,FOODS,18394.49179365079,18394
1,2016-05-23,WI_3,HOBBIES,2017.209690476191,2017
1,2016-05-23,WI_3,HOUSEHOLD,5572.026074074073,5572
2,2016-05-30,CA_1,FOODS,21316.206373015877,21316
2,2016-05-30,CA_1,HOBBIES,3697.8213174603165,3698
2,2016-05-30,CA_1,HOUSEHOLD,6892.288772486772,6892
2,2016-05-30,CA_2,FOODS,21531.903650793654,21532
2,2016-05-30,CA_2,HOBBIES,3145.577373015873,3146
2,2016-05-30,CA_2,HOUSEHOLD,8346.853000000001,8347
2,2016-05-30,CA_3,FOODS,27588.017642857136,27588
2,2016-05-30,CA_3,HOBBIES,4224.829537518037,4225
2,2016-05-30,CA_3,HOUSEHOLD,12338.584026455026,12339
2,2016-05-30,CA_4,FOODS,13255.301603174605,13255
2,2016-05-30,CA_4,HOBBIES,2893.6850529100525,2894
2,2016-05-30,CA_4,HOUSEHOLD,4316.542203703704,4317
2,2016-05-30,TX_1,FOODS,14929.115497354498,14929
2,2016-05-30,TX_1,HOBBIES,2130.0921296296306,2130
2,2016-05-30,TX_1,HOUSEHOLD,6796.215317460318,6796
2,2016-05-30,TX_2,FOODS,18775.435730158722,18775
2,2016-05-30,TX_2,HOBBIES,2875.0250793650794,2875
2,2016-05-30,TX_2,HOUSEHOLD,6797.967793650793,6798
2,2016-05-30,TX_3,FOODS,19088.949455026457,19089
2,2016-05-30,TX_3,HOBBIES,2862.3163174603174,2862
2,2016-05-30,TX_3,HOUSEHOLD,7076.199587301587,7076
2,2016-05-30,WI_1,FOODS,19467.253359788363,19467
2,2016-05-30,WI_1,HOBBIES,2999.4238015873016,2999
2,2016-05-30,WI_1,HOUSEHOLD,5416.519542328043,5417
2,2016-05-30,WI_2,FOODS,29692.70592063493,29693
2,2016-05-30,WI_2,HOBBIES,2071.052785714287,2071
2,2016-05-30,WI_2,HOUSEHOLD,7350.249246031746,7350
2,2016-05-30,WI_3,FOODS,21335.03577777777,21335
2,2016-05-30,WI_3,HOBBIES,1966.9829179894184,1967
2,2016-05-30,WI_3,HOUSEHOLD,5815.113917989417,5815
3,2016-06-06,CA_1,FOODS,23087.409055555556,23087
3,2016-06-06,CA_1,HOBBIES,4052.806087301586,4053
3,2016-06-06,CA_1,HOUSEHOLD,6824.769507936509,6825
3,2016-06-06,CA_2,FOODS,21913.588626984132,21914
3,2016-06-06,CA_2,HOBBIES,3146.117396825397,3146
3,2016-06-06,CA_2,HOUSEHOLD,8794.191761904764,8794
3,2016-06-06,CA_3,FOODS,28684.506531746032,28685
3,2016-06-06,CA_3,HOBBIES,4173.469515873016,4173
3,2016-06-06,CA_3,HOUSEHOLD,12456.994216931218,12457
3,2016-06-06,CA_4,FOODS,13950.470984126987,13950
3,2016-06-06,CA_4,HOBBIES,2830.630074074075,2831
3,2016-06-06,CA_4,HOUSEHOLD,4251.552447089948,4252
3,2016-06-06,TX_1,FOODS,16649.142333333326,16649
3,2016-06-06,TX_1,HOBBIES,2023.3577619047626,2023
3,2016-06-06,TX_1,HOUSEHOLD,6790.340293650793,6790
