week_start,store_id,cat_id,weekly_units_sold,weekly_revenue
2011-01-24,CA_1,FOODS,6376.0,13946.16
2011-01-31,CA_1,FOODS,18778.0,40973.57
2011-02-07,CA_1,FOODS,17319.0,41354.37
2011-02-14,CA_1,FOODS,15147.0,35344.09
2011-02-21,CA_1,FOODS,14155.0,33208.59
2011-02-28,CA_1,FOODS,16633.0,37336.64
2011-03-07,CA_1,FOODS,16986.0,39042.78
2011-03-14,CA_1,FOODS,14823.0,34368.36
2011-03-21,CA_1,FOODS,13752.0,31892.11
2011-03-28,CA_1,FOODS,15512.0,35582.46
2011-04-04,CA_1,FOODS,16854.0,39742.09
2011-04-11,CA_1,FOODS,14427.0,34188.37
2011-04-18,CA_1,FOODS,13974.0,34848.57
2011-04-25,CA_1,FOODS,12233.0,30534.05
2011-05-02,CA_1,FOODS,14601.0,36236.24
2011-05-09,CA_1,FOODS,15060.0,37333.27
2011-05-16,CA_1,FOODS,12956.0,32298.24
2011-05-23,CA_1,FOODS,12399.0,31145.24
2011-05-30,CA_1,FOODS,14906.0,37083.64
2011-06-06,CA_1,FOODS,15466.0,38808.86
2011-06-13,CA_1,FOODS,14701.0,35979.74
2011-06-20,CA_1,FOODS,14629.0,34820.71
2011-06-27,CA_1,FOODS,15362.0,37400.29
2011-07-04,CA_1,FOODS,17459.0,43891.47
2011-07-11,CA_1,FOODS,13994.0,35756.73
2011-07-18,CA_1,FOODS,14476.0,36152.8
2011-07-25,CA_1,FOODS,13227.0,33523.52
2011-08-01,CA_1,FOODS,15936.0,40888.16
2011-08-08,CA_1,FOODS,16242.0,41957.91
2011-08-15,CA_1,FOODS,15202.0,38580.08
2011-08-22,CA_1,FOODS,13939.0,35656.11
2011-08-29,CA_1,FOODS,14046.0,35463.0
2011-09-05,CA_1,FOODS,16354.0,43572.65
2011-09-12,CA_1,FOODS,13717.0,36390.57
2011-09-19,CA_1,FOODS,14976.0,37845.27
2011-09-26,CA_1,FOODS,16356.0,39392.0
2011-10-03,CA_1,FOODS,17878.0,43764.11
2011-10-10,CA_1,FOODS,16929.0,41335.27
2011-10-17,CA_1,FOODS,15894.0,37112.6
2011-10-24,CA_1,FOODS,15764.0,37457.77
2011-10-31,CA_1,FOODS,17495.0,40441.38
2011-11-07,CA_1,FOODS,18542.0,43056.8
2011-11-14,CA_1,FOODS,16557.0,38777.45
2011-11-21,CA_1,FOODS,16584.0,37992.67
2011-11-28,CA_1,FOODS,16595.0,38150.91
2011-12-05,CA_1,FOODS,18585.0,45035.1
2011-12-12,CA_1,FOODS,18344.0,43603.13
2011-12-19,CA_1,FOODS,16668.0,38786.88
2011-12-26,CA_1,FOODS,17859.0,42154.04
2012-01-02,CA_1,FOODS,20100.0,49120.46
2012-01-09,CA_1,FOODS,18166.0,43931.87
2012-01-16,CA_1,FOODS,18193.0,44674.66
2012-01-23,CA_1,FOODS,16232.0,38518.87
2012-01-30,CA_1,FOODS,20473.0,50352.26
2012-02-06,CA_1,FOODS,20608.0,51189.17
2012-02-13,CA_1,FOODS,18056.0,44803.69
2012-02-20,CA_1,FOODS,18255.0,44134.63
2012-02-27,CA_1,FOODS,19494.0,46824.84
2012-03-05,CA_1,FOODS,21836.0,54844.26
2012-03-12,CA_1,FOODS,19059.0,47162.49
2012-03-19,CA_1,FOODS,19541.0,45778.16
2012-03-26,CA_1,FOODS,19004.0,46613.16
2012-04-02,CA_1,FOODS,23851.0,56874.92
2012-04-09,CA_1,FOODS,21258.0,50947.97
2012-04-16,CA_1,FOODS,19734.0,47516.2
2012-04-23,CA_1,FOODS,18984.0,45591.49
2012-04-30,CA_1,FOODS,21579.0,52053.15
2012-05-07,CA_1,FOODS,23781.0,57234.38
2012-05-14,CA_1,FOODS,22447.0,53533.21
2012-05-21,CA_1,FOODS,19964.0,48307.35
2012-05-28,CA_1,FOODS,21563.0,52066.37
2012-06-04,CA_1,FOODS,22607.0,55618.88
2012-06-11,CA_1,FOODS,22873.0,53502.16
2012-06-18,CA_1,FOODS,21158.0,51176.34
2012-06-25,CA_1,FOODS,20834.0,49112.53
2012-07-02,CA_1,FOODS,22731.0,54860.71
2012-07-09,CA_1,FOODS,21849.0,54798.15
2012-07-16,CA_1,FOODS,20820.0,50217.71
2012-07-23,CA_1,FOODS,18762.0,44410.05
2012-07-30,CA_1,FOODS,22270.0,53790.54
2012-08-06,CA_1,FOODS,24186.0,57597.99
2012-08-13,CA_1,FOODS,23791.0,56735.41
2012-08-20,CA_1,FOODS,20599.0,49805.51
2012-08-27,CA_1,FOODS,21074.0,51385.65
2012-09-03,CA_1,FOODS,22941.0,56306.36
2012-09-10,CA_1,FOODS,20671.0,50562.84
2012-09-17,CA_1,FOODS,19662.0,46127.98
2012-09-24,CA_1,FOODS,18596.0,44420.33
2012-10-01,CA_1,FOODS,21821.0,51768.97
2012-10-08,CA_1,FOODS,19393.0,46550.77
2012-10-15,CA_1,FOODS,17060.0,40825.15
2012-10-22,CA_1,FOODS,16958.0,38859.38
2012-10-29,CA_1,FOODS,18450.0,42926.98
2012-11-05,CA_1,FOODS,20197.0,48550.25
2012-11-12,CA_1,FOODS,18081.0,43378.96
2012-11-19,CA_1,FOODS,16448.0,37794.79
2012-11-26,CA_1,FOODS,16606.0,39229.78
2012-12-03,CA_1,FOODS,19775.0,46621.98
2012-12-10,CA_1,FOODS,18601.0,44605.4
2012-12-17,CA_1,FOODS,19173.0,44883.51
2012-12-24,CA_1,FOODS,15162.0,35860.31
2012-12-31,CA_1,FOODS,20022.0,47655.45
2013-01-07,CA_1,FOODS,19839.0,47502.44
2013-01-14,CA_1,FOODS,17749.0,43092.58
2013-01-21,CA_1,FOODS,16796.0,40780.81
2013-01-28,CA_1,FOODS,18490.0,45148.75
2013-02-04,CA_1,FOODS,19852.0,49502.37
2013-02-11,CA_1,FOODS,19033.0,46790.73
2013-02-18,CA_1,FOODS,18402.0,45309.45
2013-02-25,CA_1,FOODS,18813.0,45958.52
2013-03-04,CA_1,FOODS,19842.0,48018.21
2013-03-11,CA_1,FOODS,18244.0,46231.41
2013-03-18,CA_1,FOODS,17686.0,43537.93
2013-03-25,CA_1,FOODS,20161.0,46568.53
2013-04-01,CA_1,FOODS,20510.0,49082.37
2013-04-08,CA_1,FOODS,19339.0,46160.71
2013-04-15,CA_1,FOODS,17816.0,43415.83
2013-04-22,CA_1,FOODS,17512.0,44205.53
2013-04-29,CA_1,FOODS,20635.0,50125.3
2013-05-06,CA_1,FOODS,21248.0,52462.44
2013-05-13,CA_1,FOODS,19630.0,48802.34
2013-05-20,CA_1,FOODS,19011.0,45984.59
2013-05-27,CA_1,FOODS,20649.0,50592.12
2013-06-03,CA_1,FOODS,22177.0,54516.77
2013-06-10,CA_1,FOODS,22167.0,52714.26
2013-06-17,CA_1,FOODS,20831.0,48334.35
2013-06-24,CA_1,FOODS,22007.0,52181.88
2013-07-01,CA_1,FOODS,26189.0,62344.76
2013-07-08,CA_1,FOODS,23628.0,55698.45
2013-07-15,CA_1,FOODS,22073.0,51801.82
2013-07-22,CA_1,FOODS,20700.0,47842.89
2013-07-29,CA_1,FOODS,22869.0,53643.69
2013-08-05,CA_1,FOODS,25691.0,58879.25
2013-08-12,CA_1,FOODS,23882.0,54258.77
2013-08-19,CA_1,FOODS,23369.0,51948.15
2013-08-26,CA_1,FOODS,23318.0,51540.84
2013-09-02,CA_1,FOODS,26584.0,59721.05
2013-09-09,CA_1,FOODS,23216.0,53257.42
2013-09-16,CA_1,FOODS,22827.0,50927.19
2013-09-23,CA_1,FOODS,21540.0,47607.29
2013-09-30,CA_1,FOODS,22640.0,54664.84
2013-10-07,CA_1,FOODS,23152.0,57685.45
2013-10-14,CA_1,FOODS,20582.0,51274.36
2013-10-21,CA_1,FOODS,19777.0,48532.12
2013-10-28,CA_1,FOODS,20936.0,50808.31
2013-11-04,CA_1,FOODS,21316.0,51766.99
2013-11-11,CA_1,FOODS,19786.0,47626.06
2013-11-18,CA_1,FOODS,19104.0,45277.15
2013-11-25,CA_1,FOODS,18206.0,42816.39
2013-12-02,CA_1,FOODS,22805.0,53244.6
2013-12-09,CA_1,FOODS,20954.0,50069.49
2013-12-16,CA_1,FOODS,20512.0,49641.59
2013-12-23,CA_1,FOODS,17710.0,41451.07
2013-12-30,CA_1,FOODS,22516.0,53049.16
2014-01-06,CA_1,FOODS,21908.0,52827.25
2014-01-13,CA_1,FOODS,19920.0,46116.69
2014-01-20,CA_1,FOODS,18909.0,44730.32
2014-01-27,CA_1,FOODS,19450.0,46934.38
2014-02-03,CA_1,FOODS,21505.0,51616.31
2014-02-10,CA_1,FOODS,19999.0,48495.77
2014-02-17,CA_1,FOODS,18386.0,44509.89
2014-02-24,CA_1,FOODS,18640.0,46751.62
2014-03-03,CA_1,FOODS,19756.0,49258.74
2014-03-10,CA_1,FOODS,20910.0,52869.28
2014-03-17,CA_1,FOODS,19546.0,47400.14
2014-03-24,CA_1,FOODS,19862.0,47756.17
2014-03-31,CA_1,FOODS,22486.0,53276.43
2014-04-07,CA_1,FOODS,22680.0,55307.55
2014-04-14,CA_1,FOODS,23238.0,56440.53
2014-04-21,CA_1,FOODS,20526.0,51074.19
2014-04-28,CA_1,FOODS,22490.0,56383.95
2014-05-05,CA_1,FOODS,20714.0,53413.22
2014-05-12,CA_1,FOODS,21699.0,52739.75
2014-05-19,CA_1,FOODS,18708.0,47121.18
2014-05-26,CA_1,FOODS,20144.0,50494.63
2014-06-02,CA_1,FOODS,22018.0,54770.57
2014-06-09,CA_1,FOODS,22285.0,53843.37
2014-06-16,CA_1,FOODS,21161.0,49864.5
2014-06-23,CA_1,FOODS,19995.0,47334.05
2014-06-30,CA_1,FOODS,23823.0,56559.67
2014-07-07,CA_1,FOODS,23478.0,58011.43
2014-07-14,CA_1,FOODS,21880.0,53126.26
2014-07-21,CA_1,FOODS,20656.0,48557.5
2014-07-28,CA_1,FOODS,23245.0,55433.4
2014-08-04,CA_1,FOODS,24204.0,58522.9
2014-08-11,CA_1,FOODS,22647.0,54732.34
2014-08-18,CA_1,FOODS,22349.0,54381.37
2014-08-25,CA_1,FOODS,20278.0,48982.49
2014-09-01,CA_1,FOODS,23582.0,58787.08
2014-09-08,CA_1,FOODS,21903.0,56046.61
2014-09-15,CA_1,FOODS,20408.0,51618.02
2014-09-22,CA_1,FOODS,20650.0,51391.64
2014-09-29,CA_1,FOODS,23118.0,59591.45
2014-10-06,CA_1,FOODS,23489.0,62516.56
2014-10-13,CA_1,FOODS,21356.0,57279.84
2014-10-20,CA_1,FOODS,20206.0,53351.85
2014-10-27,CA_1,FOODS,21542.0,57037.14
2014-11-03,CA_1,FOODS,22619.0,60678.63
2014-11-10,CA_1,FOODS,21094.0,56800.91
2014-11-17,CA_1,FOODS,19737.0,51598.29
2014-11-24,CA_1,FOODS,19853.0,50384.45
2014-12-01,CA_1,FOODS,20511.0,56516.3
2014-12-08,CA_1,FOODS,20318.0,54680.96
2014-12-15,CA_1,FOODS,20442.0,55542.46
2014-12-22,CA_1,FOODS,17316.0,46119.39
2014-12-29,CA_1,FOODS,21052.0,58140.34
2015-01-05,CA_1,FOODS,21796.0,59635.72
2015-01-12,CA_1,FOODS,19455.0,51212.64
2015-01-19,CA_1,FOODS,19634.0,50887.48
2015-01-26,CA_1,FOODS,19113.0,49436.18
2015-02-02,CA_1,FOODS,21680.0,57156.94
2015-02-09,CA_1,FOODS,21008.0,55810.15
2015-02-16,CA_1,FOODS,18431.0,50391.49
2015-02-23,CA_1,FOODS,17871.0,48783.48
